id, age, sex, region, income, married, children, car, save_act, current_act, mortgage, pep
ID12338, 22, FEMALE, INNER_CITY, 17866.9, YES, 2, NO, YES, YES, YES, NO
ID12339, 26, FEMALE, RURAL, 18067.5, YES, 2, NO, YES, NO, NO, NO
ID12340, 23, MALE, INNER_CITY, 12823.7, YES, 0, YES, YES, YES, NO, NO
ID12341, 26, FEMALE, RURAL, 11299.3, YES, 2, YES, NO, NO, NO, NO
ID12342, 59, FEMALE, INNER_CITY, 56031.1, NO, 0, YES, YES, YES, NO, YES
ID12343, 67, MALE, INNER_CITY, 35263.5, YES, 1, YES, YES, YES, NO, YES
ID12344, 34, FEMALE, INNER_CITY, 19968.1, YES, 0, YES, YES, YES, NO, NO
ID12345, 50, MALE, RURAL, 27825.5, YES, 2, YES, YES, NO, NO, NO
ID12346, 46, MALE, SUBURBAN, 37773.9, NO, 0, YES, YES, YES, YES, NO
ID12347, 23, FEMALE, INNER_CITY, 7606.25, NO, 3, YES, NO, NO, NO, NO
ID12348, 26, MALE, RURAL, 21384.4, YES, 0, NO, NO, YES, NO, NO
ID12349, 40, MALE, TOWN, 20347.0, YES, 3, NO, YES, YES, NO, NO
ID12350, 36, MALE, TOWN, 21332.3, YES, 3, YES, NO, YES, NO, NO
ID12351, 65, MALE, INNER_CITY, 57671.7, NO, 0, NO, YES, YES, YES, NO
ID12352, 45, FEMALE, TOWN, 36057.8, YES, 1, YES, YES, YES, YES, YES
ID12353, 23, MALE, INNER_CITY, 14290.5, YES, 2, NO, NO, YES, YES, NO
ID12354, 42, FEMALE, TOWN, 17882.9, YES, 1, NO, NO, NO, NO, YES
ID12355, 21, FEMALE, RURAL, 10629.1, NO, 3, NO, YES, YES, YES, NO
ID12356, 62, FEMALE, INNER_CITY, 24262.8, NO, 0, YES, NO, YES, NO, YES
ID12357, 49, FEMALE, SUBURBAN, 26097.9, NO, 2, NO, YES, YES, NO, NO
ID12358, 28, FEMALE, TOWN, 23371.0, YES, 2, NO, NO, YES, YES, NO
ID12359, 38, FEMALE, TOWN, 21495.6, NO, 3, NO, NO, YES, YES, NO
ID12360, 36, MALE, TOWN, 12166.9, NO, 0, NO, NO, NO, NO, NO
ID12361, 22, MALE, SUBURBAN, 17180.2, YES, 0, NO, YES, YES, NO, NO
ID12362, 40, FEMALE, TOWN, 28882.3, YES, 1, NO, YES, YES, YES, YES
ID12363, 40, FEMALE, TOWN, 21612.2, YES, 0, NO, NO, YES, NO, NO
ID12364, 60, FEMALE, INNER_CITY, 46358.4, YES, 0, YES, YES, YES, YES, NO
ID12365, 23, MALE, INNER_CITY, 19166.0, NO, 0, YES, YES, NO, NO, YES
ID12366, 21, MALE, INNER_CITY, 17921.8, YES, 1, YES, NO, NO, NO, YES
ID12367, 58, MALE, TOWN, 33229.0, NO, 0, YES, YES, YES, NO, YES
ID12368, 48, FEMALE, SUBURBAN, 30396.1, NO, 0, NO, YES, YES, NO, YES
ID12369, 63, FEMALE, TOWN, 34625.2, YES, 0, YES, NO, YES, NO, NO
ID12370, 20, MALE, TOWN, 16672.8, NO, 3, YES, NO, YES, YES, NO
ID12371, 67, FEMALE, SUBURBAN, 60747.5, NO, 2, NO, YES, YES, YES, YES
ID12372, 62, FEMALE, INNER_CITY, 56394.3, NO, 0, YES, YES, YES, NO, YES
ID12373, 36, MALE, TOWN, 13236.4, YES, 0, NO, YES, YES, NO, NO
ID12374, 31, MALE, INNER_CITY, 28409.4, YES, 1, YES, NO, YES, NO, YES
ID12375, 42, FEMALE, INNER_CITY, 27056.5, YES, 0, YES, YES, YES, NO, NO
ID12376, 18, MALE, RURAL, 9362.58, YES, 0, YES, NO, YES, YES, YES
ID12377, 46, FEMALE, SUBURBAN, 28702.7, NO, 1, NO, YES, YES, YES, YES
ID12378, 25, MALE, TOWN, 22366.1, YES, 1, YES, YES, YES, NO, YES
ID12379, 65, FEMALE, RURAL, 24477.5, NO, 0, NO, YES, NO, YES, NO
ID12380, 40, MALE, TOWN, 36972.4, YES, 1, NO, NO, YES, YES, YES
ID12381, 32, MALE, INNER_CITY, 22327.8, YES, 1, NO, NO, NO, NO, YES
ID12382, 18, FEMALE, INNER_CITY, 15610.2, YES, 0, NO, YES, YES, NO, NO
ID12383, 64, MALE, INNER_CITY, 54314.5, YES, 1, YES, YES, NO, NO, YES
ID12384, 43, FEMALE, INNER_CITY, 39175.8, YES, 3, NO, YES, YES, YES, NO
ID12385, 22, FEMALE, INNER_CITY, 13739.0, YES, 3, NO, YES, YES, NO, NO
ID12386, 25, MALE, TOWN, 9485.84, YES, 0, NO, NO, NO, NO, NO
ID12387, 39, MALE, INNER_CITY, 24675.7, YES, 1, YES, YES, YES, YES, YES
ID12388, 58, FEMALE, INNER_CITY, 28253.6, YES, 3, NO, NO, YES, NO, NO
ID12389, 33, MALE, INNER_CITY, 14136.5, YES, 1, NO, YES, NO, NO, NO
ID12390, 52, FEMALE, RURAL, 37162.1, YES, 1, YES, YES, YES, NO, YES
ID12391, 23, MALE, INNER_CITY, 13519.2, NO, 0, NO, YES, YES, NO, YES
ID12392, 44, FEMALE, INNER_CITY, 39253.6, NO, 0, YES, YES, NO, NO, YES
ID12393, 51, MALE, RURAL, 46323.8, YES, 2, YES, YES, YES, YES, YES
ID12394, 26, FEMALE, TOWN, 20950.7, YES, 0, NO, YES, YES, NO, NO
ID12395, 42, MALE, TOWN, 22495.7, YES, 0, NO, YES, NO, YES, NO
ID12396, 34, MALE, TOWN, 32548.9, YES, 0, YES, YES, YES, YES, NO
ID12397, 54, FEMALE, RURAL, 24583.4, NO, 2, YES, YES, YES, YES, NO
ID12398, 18, MALE, RURAL, 8639.24, YES, 2, NO, NO, NO, NO, NO
ID12399, 47, FEMALE, INNER_CITY, 17139.5, NO, 2, YES, NO, YES, NO, NO
ID12400, 24, FEMALE, INNER_CITY, 13667.7, YES, 0, NO, YES, YES, NO, NO
ID12401, 19, FEMALE, INNER_CITY, 8162.42, YES, 1, YES, YES, YES, YES, NO
ID12402, 37, FEMALE, TOWN, 15349.6, YES, 0, NO, YES, NO, NO, NO
ID12403, 45, FEMALE, TOWN, 29231.4, YES, 0, NO, YES, NO, NO, NO
ID12404, 49, MALE, RURAL, 41462.3, YES, 3, NO, YES, YES, YES, NO
ID12405, 67, FEMALE, RURAL, 57398.1, NO, 3, NO, YES, YES, NO, YES
ID12406, 35, FEMALE, RURAL, 11520.8, YES, 0, NO, NO, YES, NO, NO
ID12407, 63, MALE, INNER_CITY, 52117.3, NO, 2, YES, YES, YES, NO, YES
ID12408, 38, MALE, RURAL, 26281.4, NO, 0, YES, YES, YES, NO, YES
ID12409, 48, MALE, TOWN, 25683.4, NO, 2, YES, YES, YES, NO, NO
ID12410, 28, FEMALE, INNER_CITY, 11920.7, NO, 1, NO, YES, YES, NO, NO
ID12411, 46, MALE, TOWN, 30658.7, YES, 0, NO, YES, YES, NO, NO
ID12412, 66, MALE, INNER_CITY, 36646.4, NO, 1, NO, YES, YES, NO, YES
ID12413, 61, FEMALE, TOWN, 30760.4, NO, 2, YES, NO, YES, NO, YES
ID12414, 18, FEMALE, RURAL, 16109.9, NO, 2, YES, YES, YES, NO, NO
ID12415, 54, FEMALE, TOWN, 18036.7, YES, 0, YES, YES, NO, NO, NO
ID12416, 45, MALE, RURAL, 42628.3, NO, 0, YES, YES, YES, YES, NO
ID12417, 60, MALE, INNER_CITY, 22110.1, NO, 2, YES, YES, YES, NO, NO
ID12418, 45, FEMALE, TOWN, 37689.1, NO, 1, NO, YES, YES, YES, YES
ID12419, 31, FEMALE, INNER_CITY, 23171.8, NO, 2, NO, YES, NO, NO, NO
ID12420, 39, MALE, SUBURBAN, 21951.3, NO, 0, YES, YES, YES, YES, NO
ID12421, 53, MALE, INNER_CITY, 38103.4, NO, 2, YES, YES, YES, NO, YES
ID12422, 35, MALE, RURAL, 22882.9, YES, 0, YES, NO, NO, YES, YES
ID12423, 25, FEMALE, TOWN, 11043.7, YES, 1, YES, YES, NO, YES, NO
ID12424, 32, MALE, TOWN, 24027.6, NO, 0, NO, YES, YES, NO, YES
ID12425, 36, MALE, SUBURBAN, 28495.1, YES, 0, NO, YES, YES, NO, NO
ID12426, 24, FEMALE, TOWN, 9465.21, NO, 0, NO, NO, YES, NO, YES
ID12427, 39, MALE, INNER_CITY, 34852.3, YES, 1, NO, YES, NO, YES, YES
ID12428, 24, MALE, INNER_CITY, 21268.4, YES, 0, NO, NO, YES, YES, YES
ID12429, 57, FEMALE, RURAL, 50849.2, NO, 1, NO, YES, NO, YES, YES
ID12430, 27, FEMALE, TOWN, 18555.9, YES, 3, NO, NO, YES, NO, NO
ID12431, 66, FEMALE, RURAL, 52769.9, YES, 3, YES, YES, YES, NO, YES
ID12432, 18, FEMALE, INNER_CITY, 11601.4, YES, 2, NO, YES, YES, YES, NO
ID12433, 33, FEMALE, TOWN, 29541.7, YES, 0, NO, YES, NO, NO, NO
ID12434, 48, MALE, SUBURBAN, 17861.0, YES, 2, NO, YES, YES, NO, NO
ID12435, 23, FEMALE, SUBURBAN, 21042.0, YES, 1, NO, NO, YES, NO, YES
ID12436, 44, MALE, TOWN, 26688.1, YES, 1, NO, YES, NO, YES, YES
ID12437, 39, MALE, INNER_CITY, 26900.6, YES, 2, NO, NO, NO, YES, NO
ID12438, 65, MALE, INNER_CITY, 38080.9, YES, 1, YES, YES, NO, YES, NO
ID12439, 60, MALE, SUBURBAN, 37554.1, YES, 2, YES, YES, YES, YES, YES
ID12440, 20, MALE, INNER_CITY, 18184.6, YES, 0, NO, NO, YES, YES, YES
ID12441, 45, FEMALE, SUBURBAN, 28864.9, YES, 0, NO, YES, YES, NO, NO
ID12442, 66, MALE, RURAL, 48346.1, YES, 1, YES, YES, NO, NO, YES
ID12443, 64, MALE, INNER_CITY, 53104.3, YES, 0, YES, YES, YES, NO, NO
ID12444, 51, FEMALE, INNER_CITY, 19416.8, YES, 0, NO, YES, YES, NO, NO
ID12445, 34, MALE, RURAL, 23638.1, YES, 2, YES, YES, YES, NO, NO
ID12446, 65, FEMALE, TOWN, 42378.2, YES, 1, NO, YES, YES, NO, YES
ID12447, 50, MALE, RURAL, 39745.3, YES, 0, YES, YES, NO, YES, NO
ID12448, 66, FEMALE, INNER_CITY, 45189.8, YES, 0, NO, YES, NO, NO, NO
ID12449, 63, MALE, INNER_CITY, 37930.9, YES, 0, NO, YES, NO, YES, NO
ID12450, 53, FEMALE, INNER_CITY, 24042.0, NO, 1, NO, NO, YES, NO, YES
ID12451, 33, FEMALE, INNER_CITY, 31207.1, NO, 0, YES, NO, YES, YES, YES
ID12452, 38, MALE, TOWN, 24424.3, YES, 0, NO, YES, YES, YES, NO
ID12453, 56, FEMALE, RURAL, 24607.8, NO, 1, NO, YES, YES, YES, NO
ID12454, 48, MALE, TOWN, 43057.0, NO, 1, YES, YES, YES, NO, YES
ID12455, 49, FEMALE, SUBURBAN, 30198.5, YES, 0, YES, NO, YES, YES, YES
ID12456, 54, FEMALE, RURAL, 50186.1, YES, 2, NO, YES, YES, YES, YES
ID12457, 41, FEMALE, SUBURBAN, 22916.1, YES, 0, NO, NO, YES, NO, NO
ID12458, 19, MALE, RURAL, 9592.73, NO, 0, NO, YES, YES, NO, YES
ID12459, 52, FEMALE, INNER_CITY, 34253.6, NO, 3, YES, NO, YES, NO, NO
ID12460, 52, FEMALE, INNER_CITY, 22792.3, YES, 1, YES, YES, NO, NO, YES
ID12461, 64, FEMALE, TOWN, 51620.8, NO, 2, YES, YES, YES, NO, YES
ID12462, 56, MALE, TOWN, 19918.9, YES, 3, NO, YES, YES, YES, NO
ID12463, 56, MALE, TOWN, 29625.1, YES, 2, NO, NO, YES, NO, NO
ID12464, 19, FEMALE, TOWN, 12549.0, YES, 0, NO, YES, YES, NO, NO
ID12465, 56, FEMALE, TOWN, 51299.3, YES, 1, YES, YES, NO, NO, YES
ID12466, 27, MALE, INNER_CITY, 17364.8, YES, 2, YES, YES, NO, NO, YES
ID12467, 59, FEMALE, INNER_CITY, 29866.9, NO, 1, YES, NO, YES, NO, YES
ID12468, 56, MALE, INNER_CITY, 47750.2, YES, 0, YES, YES, YES, YES, NO
ID12469, 21, MALE, TOWN, 11281.5, YES, 0, NO, YES, YES, YES, NO
ID12470, 64, MALE, INNER_CITY, 34073.8, YES, 3, NO, YES, NO, YES, NO
ID12471, 62, MALE, INNER_CITY, 46870.4, YES, 0, NO, YES, YES, NO, NO
ID12472, 44, FEMALE, INNER_CITY, 38453.7, NO, 2, NO, YES, YES, NO, YES
ID12473, 24, FEMALE, INNER_CITY, 7756.36, NO, 0, NO, NO, NO, NO, YES
ID12474, 52, FEMALE, INNER_CITY, 28413.8, YES, 0, NO, NO, YES, NO, NO
ID12475, 67, FEMALE, SUBURBAN, 47198.6, YES, 2, NO, YES, YES, NO, YES
ID12476, 41, MALE, INNER_CITY, 20866.3, YES, 0, YES, YES, YES, NO, NO
ID12477, 58, FEMALE, TOWN, 33204.3, NO, 1, NO, NO, NO, YES, YES
ID12478, 40, MALE, INNER_CITY, 24823.5, NO, 2, NO, NO, YES, NO, NO
ID12479, 19, MALE, SUBURBAN, 17986.8, YES, 0, NO, NO, YES, YES, YES
ID12480, 20, FEMALE, INNER_CITY, 9909.82, YES, 3, NO, NO, YES, NO, NO
ID12481, 56, FEMALE, TOWN, 26542.8, NO, 0, YES, YES, YES, NO, YES
ID12482, 46, FEMALE, INNER_CITY, 32583.5, YES, 2, YES, YES, YES, NO, NO
ID12483, 30, MALE, INNER_CITY, 14606.6, YES, 1, NO, NO, YES, NO, NO
ID12484, 40, FEMALE, TOWN, 34836.8, YES, 1, YES, YES, YES, NO, YES
ID12485, 36, FEMALE, TOWN, 26920.8, YES, 0, NO, NO, YES, NO, NO
ID12486, 57, FEMALE, INNER_CITY, 38248.3, NO, 3, YES, NO, YES, YES, NO
ID12487, 49, MALE, INNER_CITY, 15689.1, NO, 0, NO, NO, YES, NO, NO
ID12488, 61, MALE, INNER_CITY, 30157.7, NO, 1, YES, NO, NO, NO, YES
ID12489, 29, MALE, INNER_CITY, 14642.2, NO, 0, YES, NO, YES, NO, YES
ID12490, 48, FEMALE, INNER_CITY, 15933.3, YES, 0, NO, YES, NO, NO, NO
ID12491, 56, FEMALE, INNER_CITY, 44288.3, YES, 0, NO, YES, YES, NO, NO
ID12492, 40, MALE, TOWN, 22197.1, NO, 0, YES, NO, YES, NO, YES
ID12493, 58, FEMALE, TOWN, 38248.3, YES, 3, YES, YES, NO, NO, NO
ID12494, 60, FEMALE, INNER_CITY, 22053.2, YES, 2, YES, YES, NO, YES, NO
ID12495, 58, FEMALE, SUBURBAN, 25468.5, NO, 0, YES, NO, NO, YES, YES
ID12496, 67, FEMALE, TOWN, 23485.9, YES, 3, YES, NO, NO, YES, NO
ID12497, 40, MALE, RURAL, 25768.6, YES, 0, YES, YES, NO, NO, NO
ID12498, 48, MALE, INNER_CITY, 34182.2, YES, 2, NO, YES, YES, NO, YES
ID12499, 64, FEMALE, INNER_CITY, 57444.5, NO, 1, NO, YES, YES, NO, YES
ID12500, 43, MALE, TOWN, 38059.8, YES, 0, YES, YES, NO, YES, NO
ID12501, 34, FEMALE, RURAL, 19481.3, NO, 0, NO, NO, YES, YES, YES
ID12502, 26, MALE, RURAL, 19563.8, NO, 3, YES, NO, NO, YES, NO
ID12503, 48, MALE, INNER_CITY, 38598.4, YES, 0, YES, NO, YES, NO, NO
ID12504, 35, MALE, INNER_CITY, 20754.3, NO, 0, NO, NO, NO, YES, YES
ID12505, 24, FEMALE, INNER_CITY, 13864.6, YES, 3, NO, YES, YES, NO, YES
ID12506, 47, MALE, SUBURBAN, 36599.0, YES, 3, YES, YES, YES, NO, YES
ID12507, 52, MALE, SUBURBAN, 45856.1, NO, 1, NO, YES, YES, NO, YES
ID12508, 31, MALE, SUBURBAN, 22362.3, NO, 0, NO, YES, YES, NO, YES
ID12509, 41, FEMALE, SUBURBAN, 21984.0, YES, 1, YES, NO, NO, NO, YES
ID12510, 23, MALE, SUBURBAN, 11073.0, YES, 2, NO, YES, NO, NO, NO
ID12511, 27, FEMALE, INNER_CITY, 18158.5, NO, 1, YES, NO, YES, YES, YES
ID12512, 22, MALE, INNER_CITY, 7304.2, NO, 0, YES, YES, YES, YES, NO
ID12513, 67, FEMALE, INNER_CITY, 58092.0, NO, 2, YES, YES, YES, NO, YES
ID12514, 26, FEMALE, INNER_CITY, 16518.6, YES, 0, YES, NO, YES, NO, YES
ID12515, 58, FEMALE, SUBURBAN, 46461.5, YES, 0, NO, YES, YES, NO, NO
ID12516, 27, MALE, RURAL, 20058.7, YES, 0, NO, YES, YES, YES, NO
ID12517, 36, MALE, INNER_CITY, 12533.2, NO, 1, NO, YES, NO, YES, NO
ID12518, 31, MALE, RURAL, 22848.5, YES, 1, YES, NO, NO, NO, YES
ID12519, 28, FEMALE, TOWN, 25699.4, YES, 2, YES, YES, NO, NO, YES
ID12520, 57, MALE, TOWN, 21612.6, YES, 0, NO, YES, YES, YES, NO
ID12521, 64, MALE, INNER_CITY, 48950.9, YES, 0, YES, YES, YES, YES, NO
ID12522, 49, MALE, INNER_CITY, 41438.0, NO, 1, NO, YES, NO, NO, YES
ID12523, 22, MALE, INNER_CITY, 11411.0, YES, 1, YES, NO, YES, NO, NO
ID12524, 58, FEMALE, INNER_CITY, 43940.6, YES, 0, YES, YES, YES, NO, NO
ID12525, 20, MALE, TOWN, 17239.5, NO, 1, YES, NO, YES, NO, YES
ID12526, 44, FEMALE, RURAL, 30488.7, YES, 0, NO, YES, YES, NO, NO
ID12527, 65, FEMALE, TOWN, 29866.3, YES, 3, NO, YES, NO, NO, NO
ID12528, 53, FEMALE, INNER_CITY, 32184.4, YES, 2, YES, NO, NO, NO, YES
ID12529, 34, FEMALE, INNER_CITY, 17308.7, YES, 1, YES, NO, YES, YES, YES
ID12530, 35, MALE, RURAL, 27863.9, NO, 2, NO, YES, YES, YES, NO
ID12531, 48, MALE, TOWN, 28920.6, YES, 0, NO, YES, NO, YES, NO
ID12532, 64, FEMALE, TOWN, 58367.3, YES, 1, YES, YES, YES, NO, YES
ID12533, 46, MALE, TOWN, 16849.3, NO, 0, YES, YES, YES, YES, NO
ID12534, 42, FEMALE, RURAL, 28138.5, YES, 0, NO, NO, YES, YES, YES
ID12535, 47, MALE, INNER_CITY, 23038.2, YES, 0, YES, YES, NO, NO, NO
ID12536, 23, MALE, TOWN, 11736.9, NO, 2, YES, YES, YES, YES, NO
ID12537, 35, MALE, INNER_CITY, 16479.5, YES, 0, YES, NO, NO, YES, YES
ID12538, 64, FEMALE, INNER_CITY, 31415.7, NO, 1, YES, YES, NO, YES, YES
ID12539, 18, FEMALE, SUBURBAN, 12117.3, YES, 1, NO, NO, YES, NO, NO
ID12540, 19, MALE, INNER_CITY, 15417.1, YES, 1, YES, NO, YES, NO, NO
ID12541, 40, MALE, INNER_CITY, 29414.6, YES, 1, NO, YES, NO, YES, YES
ID12542, 47, MALE, INNER_CITY, 44682.1, YES, 0, YES, YES, YES, NO, NO
ID12543, 43, FEMALE, RURAL, 36281.0, YES, 0, YES, YES, YES, NO, NO
ID12544, 38, MALE, TOWN, 33302.8, NO, 0, YES, NO, YES, YES, YES
ID12545, 21, FEMALE, RURAL, 15797.1, YES, 0, NO, YES, YES, NO, YES
ID12546, 40, MALE, RURAL, 31864.8, YES, 0, YES, YES, YES, NO, NO
ID12547, 52, FEMALE, TOWN, 43719.5, YES, 0, NO, YES, YES, NO, NO
ID12548, 35, FEMALE, TOWN, 30799.5, YES, 2, NO, NO, YES, NO, YES
ID12549, 53, MALE, RURAL, 48971.6, YES, 3, YES, YES, NO, NO, YES
ID12550, 38, FEMALE, RURAL, 34061.4, NO, 0, YES, YES, YES, NO, YES
ID12551, 42, MALE, INNER_CITY, 28938.6, YES, 3, YES, NO, NO, NO, NO
ID12552, 43, MALE, TOWN, 38540.0, NO, 0, YES, YES, NO, YES, NO
ID12553, 59, FEMALE, INNER_CITY, 27045.1, NO, 0, NO, NO, YES, NO, YES
ID12554, 59, FEMALE, RURAL, 51284.3, NO, 0, YES, YES, YES, YES, NO
ID12555, 24, MALE, INNER_CITY, 16352.2, NO, 0, NO, YES, YES, YES, NO
ID12556, 27, FEMALE, INNER_CITY, 11866.4, YES, 0, YES, YES, YES, NO, NO
ID12557, 32, FEMALE, TOWN, 13267.6, YES, 0, YES, YES, YES, YES, NO
ID12558, 65, FEMALE, INNER_CITY, 61554.6, YES, 0, NO, YES, YES, NO, NO
ID12559, 18, MALE, SUBURBAN, 13700.2, NO, 1, NO, YES, YES, NO, NO
ID12560, 66, MALE, TOWN, 46963.9, YES, 1, NO, YES, YES, NO, YES
ID12561, 41, MALE, INNER_CITY, 23475.6, YES, 0, YES, NO, YES, YES, YES
ID12562, 64, FEMALE, SUBURBAN, 24554.1, YES, 0, YES, YES, NO, YES, NO
ID12563, 23, FEMALE, INNER_CITY, 18050.0, YES, 0, YES, NO, YES, YES, YES
ID12564, 29, FEMALE, RURAL, 15237.6, YES, 2, YES, NO, YES, NO, NO
ID12565, 28, MALE, TOWN, 20555.0, NO, 0, YES, YES, YES, NO, YES
ID12566, 57, FEMALE, TOWN, 28421.7, YES, 2, YES, YES, YES, YES, NO
ID12567, 38, MALE, INNER_CITY, 21876.5, YES, 0, NO, NO, YES, NO, NO
ID12568, 34, FEMALE, SUBURBAN, 12810.2, NO, 3, NO, YES, YES, NO, YES
ID12569, 43, MALE, SUBURBAN, 15109.4, YES, 0, NO, NO, YES, NO, YES
ID12570, 63, MALE, TOWN, 37414.7, NO, 3, YES, YES, YES, NO, NO
ID12571, 62, FEMALE, INNER_CITY, 41521.6, YES, 0, NO, YES, YES, YES, NO
ID12572, 51, FEMALE, INNER_CITY, 25372.8, YES, 0, YES, YES, YES, NO, NO
ID12573, 61, MALE, INNER_CITY, 21139.8, YES, 2, YES, YES, NO, NO, NO
ID12574, 41, FEMALE, TOWN, 27757.6, NO, 0, NO, YES, YES, NO, YES
ID12575, 31, FEMALE, TOWN, 22678.1, NO, 1, YES, YES, YES, YES, YES
ID12576, 33, FEMALE, TOWN, 12178.5, YES, 2, NO, YES, YES, YES, NO
ID12577, 43, MALE, RURAL, 26106.7, NO, 1, NO, NO, YES, NO, YES
